Parte,Fecha_Inicio,Concejo,Localidad,Estado,Latitud,Longitud,Superficie_ha
0268-07042026,07/04/2026 11:16,Oviedo,LAS CAMPAS,Extinguido,43.365973,-5.88831,
0306-07042026,07/04/2026 12:31,Oviedo,,Extinguido,43.345524,-5.97262,
0354-07042026,07/04/2026 13:16,Parres,Tospe,Extinguido,43.325783,-5.23904,
0438-07042026,07/04/2026 14:46,Piloña,El Pico,Extinguido,43.311659,-5.23797,3
0470-07042026,07/04/2026 15:31,Yernes y Tameza,Yernes,Extinguido,43.279557,-6.11004,
0504-07042026,07/04/2026 16:01,Oviedo,Novales,Extinguido,43.325458,-5.8263,
0540-07042026,07/04/2026 16:31,Morcín,La Collada,Extinguido,43.268087,-5.87528,
0525-07042026,07/04/2026 16:31,Belmonte de Miranda,Carricedo.,Extinguido,43.284386,-6.26379,1
0551-07042026,07/04/2026 16:46,Cangas de Onís,La Riera.,Extinguido,43.324436,-5.07861,
0615-07042026,07/04/2026 18:01,Piloña,ARGANDENES,Extinguido,43.366861,-5.33219,
0639-07042026,07/04/2026 18:31,Nava,,Extinguido,43.346521,-5.48394,
0825-07042026,07/04/2026 21:31,Peñamellera Baja,Cercanías del área recreativa del argayo.,Extinguido,43.319344,-4.54003,
0820-07042026,07/04/2026 21:31,Llanes,Por encima del cementerio de San Roque del Acebal.,Extinguido,43.395278,-4.73612,15
0859-07042026,07/04/2026 22:01,Ribadesella,Abeo.,Extinguido,43.469144,-5.11138,
0901-07042026,07/04/2026 23:01,Cangas de Onís,NIEDA,Extinguido,43.340775,-5.11223,
0945-07042026,08/04/2026 0:01,Peñamellera Baja,ABANDAMES,Extinguido,43.325567,-4.60222,
,,,Villaverde,Extinguido,43.256,-5.14,5
,,,Vega de Sebarga,Extinguido,43.27682037811383,-5.164087147918789,
,24/02/2026 15:32,,VILLAVERDE,Extinguido,43.253,-5.144,5
,26/02/2026 16:59,,PEN,Extinguido,43.271,-5.15,
,02/03/2026 0:00,,ENTRE CIEN Y SAN ROMAN-ARROLLO COLÍN,Extinguido,43.252,-5.09,
,,,Llano de Con,Extinguido,43.323031993147744,-5.019543044708619,12
,,,Nieda,Extinguido,43.341078618735736,-5.121333291224399,
,,,Zardón,Extinguido,43.394,-5.037,
,02/03/2026 10:20,,ENTRE NIEDA Y SEGÜENCO,Extinguido,43.330494,-5.114339,
,03/03/2026 20:10,,SANTIANES DE OLA,Extinguido,43.40333,-5.04583,
,,,Porciles-Ridera,Extinguido,43.161,-6.39,100
,26/02/2026 17:11,,Ridea,Extinguido,43.168,-6.3998,
,,,Pendones,Extinguido,43.15279641525894,-5.243275698360225,
,01/03/2026 14:38,,RESTIELLO-VILLAZOY,Extinguido,43.2706,-6.1758,2
,01/03/2026 15:32,,LA TEJERA - SOMBRONES,Extinguido,43.2665,-6.1692,3
,03/03/2026 23:14,,Rubiano,Extinguido,43.3067,-6.1079,6
,,,La Mesa,Extinguido,43.21777870253468,-6.8105220858063165,
,,,Pico La Vara,Extinguido,43.234528,-5.592809,60
,,,Ferrera,Extinguido,43.25448417489461,-5.512056811505801,2
,01/03/2026 15:14,,ENTRE BAUA Y GAMONAL,Extinguido,43.2322,-5.5479,5
,,,Pajares,Extinguido,43.032,-5.778,
,,,Columbiello,Extinguido,43.142,-5.792,100
,24/02/2026 21:30,,Armada,Extinguido,43.164,-5.885,40
,,,Flor de Acebos,Extinguido,43.142,-5.792,
,26/02/2026 17:06,,Parana,Extinguido,43.08331215379019,-5.7624432742639105,
,,,Congostinas,Extinguido,43.09867164449745,-5.774744656356204,
,27/02/2026 4:03,,ARMADA,Extinguido,43.161,-5.887,5
,,,Llosa de Viango,Extinguido,43.377,-4.81,35
,,,Porrúa,Extinguido,43.40703200078378,-4.814941669984813,
,26/02/2026 17:11,,LA BORBOLLA,Extinguido,43.354,-4.667,
,,,Tablado,Extinguido,43.248612608362244,-5.742887167690397,
,,,Llano La Tabla,Extinguido,43.245,-5.803,
,,,Turón,Extinguido,43.20512379034632,-5.751660270743334,4
,,,San Justo,Extinguido,43.21197790481734,-5.712375824277031,30
,,,Bobia-Demués,Extinguido,43.349,-4.993,
,,,Sirviella,Extinguido,43.34344374260158,-4.975017278801907,
,,,Gamonedo,Extinguido,43.30192368545289,-4.99795164862097,
,,,Las Coronas,Extinguido,43.42148384167111,-5.176425705979611,7
,,,Alles,Extinguido,43.339045821515434,-4.700026480808428,
,,,Llonín,Extinguido,43.338,-4.649,35
,,,Rozapanera,Extinguido,43.287,-5.368,
,,,Porciles,Extinguido,43.303,-5.335,
,,,Pesquerín,Extinguido,43.33685081862673,-5.280977069159735,2
,,,Vegarrionda,Extinguido,43.30913437668005,-5.413166370189767,8
,,,La Cueva,Extinguido,43.35030069920145,-5.386603816041107,50
,,,La Armada,Extinguido,43.32276561230018,-5.268098468029614,40
